cited_by_id,article_id,edge_type,scientificName,encounter_method
(Dickman 1996b) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Sminthopsis psammophila,citation,Sminthopsis psammophila,core_sources
(Dickman 1996b) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Xeromys myoides,citation,Xeromys myoides,core_sources
(Dickman 1996b) core source_claim,NOTHING_EXCLUDE_NA_No citation given_NA_NA Zyzomys pedunculatus,citation,Zyzomys pedunculatus,core_sources
(Dickman 1996b) core source_claim,(Pearson 1992)_INCLUDE_NA_Predation not in support_no_no,citation,Petrogale lateralis,core_sources
(Dickman 1996b) core source_claim,(Pye 1991)_EXCLUDE_1_Opinion claim_NA_NA,citation,Pseudomys novaehollandiae,core_sources
(Dickman 1996b) core source_claim,(Robinson & Smyth 1976)_EXCLUDE_1_Inaccessible_NA_NA,citation,Bettongia penicillata,core_sources
(Dickman 1996b) core source_claim,(Robinson 1989)_EXCLUDE_0_Inaccessible_NA_NA,citation,Leporillus conditor,core_sources
(Dickman 1996b) core source_claim,(Serena et al. 1991)_EXCLUDE_0_Opinion claim_NA_NA,citation,Dasyurus geoffroii,core_sources
(Dickman 1996b) core source_claim,(Soderquist 1994)_EXCLUDE_0_Inaccessible_NA_NA,citation,Phascogale tapoatafa,core_sources
(Dickman 1996b) core source_claim,(Tidemann et al. 1994)_INCLUDE_NA_Predation in support_no_no,citation,Pteropus melanotus,core_sources
(Dickman et al. 1993)_EXCLUDE_1_Opinion claim_NA_NA,(Burbidge & Johnson 1983)_EXCLUDE_0_Inaccessible_NA_NA,citation,Isoodon auratus,snowball
(Dickman et al. 1993)_EXCLUDE_1_Opinion claim_NA_NA,(McKenzie 1984)_EXCLUDE_0_Inaccessible_NA_NA,citation,Dasyurus geoffroii,snowball
(Dickman et al. 1993)_EXCLUDE_1_Opinion claim_NA_NA,(McKenzie 1984)_EXCLUDE_0_Inaccessible_NA_NA,citation,Isoodon auratus,snowball
