key,article_id,cited_by_id,scientificName,distance_to_terminus,article_node_name,Peer_reviewed_source,in_support,evidence_type_synthetic,has_data,of_quality,source_year
Anas chlorotis (IUCN 2025) core source_claim,(Hayes 2006)_EXCLUDE_0_Inaccessible_NA_NA,(IUCN 2025) core source_claim,Anas chlorotis,1,(Hayes 2006),0,Not relevant,Inaccessible,"",no,2019
Anas chlorotis (IUCN 2025) core source_claim,(Heather & Robertson 1997)_EXCLUDE_?_Inaccessible_NA_NA,(IUCN 2025) core source_claim,Anas chlorotis,1,(Heather & Robertson 1997),?,Not relevant,Inaccessible,"",no,2019
Anas chlorotis (IUCN 2025) core source_claim,(O'Connor 2004)_EXCLUDE_0_Inaccessible_NA_NA,(IUCN 2025) core source_claim,Anas chlorotis,2,(O'Connor 2004),0,Not relevant,Inaccessible,"",no,2019
Anas chlorotis (IUCN 2025) core source_claim,(Sim & Roxburgh 2007)_EXCLUDE_?_Inaccessible_NA_NA,(IUCN 2025) core source_claim,Anas chlorotis,1,(Sim & Roxburgh 2007),?,Not relevant,Inaccessible,"",no,2019
Anas chlorotis (IUCN 2025) core source_claim,"D. Barker, pers. Comm._EXCLUDE_0_Inaccessible_NA_NA",(IUCN 2025) core source_claim,Anas chlorotis,2,"D. Barker, pers. Comm.",0,Not relevant,Inaccessible,"",no,2019
Anas chlorotis (IUCN 2025) core source_claim,"D. Barker, pers. comm._EXCLUDE_0_Inaccessible_NA_NA",(IUCN 2025) core source_claim,Anas chlorotis,2,"D. Barker, pers. comm.",0,Not relevant,Inaccessible,"",no,2019
Anas chlorotis Web of Science_Systematic external review,(Barker & Williams 2002)_INCLUDE_NA_Predation not in support_no_no,Web of Science_Systematic external review,Anas chlorotis,2,(Barker & Williams 2002),"",No,Predation not in support without data,no,no,2025
Anas chlorotis Web of Science_Systematic external review,(Barker 1998)_EXCLUDE_0_Inaccessible_NA_NA,Web of Science_Systematic external review,Anas chlorotis,3,(Barker 1998),0,Not relevant,Inaccessible,"",no,2025
Anas chlorotis Web of Science_Systematic external review,(Barker 1999)_EXCLUDE_0_Inaccessible_NA_NA,Web of Science_Systematic external review,Anas chlorotis,3,(Barker 1999),0,Not relevant,Inaccessible,"",no,2025
Anas chlorotis Web of Science_Systematic external review,(Gillies et al. 2003)_EXCLUDE_1_Opinion claim_NA_NA,Web of Science_Systematic external review,Anas chlorotis,1,(Gillies et al. 2003),"",Not relevant,Opinion claim,"",no,2025
Anas chlorotis Web of Science_Systematic external review,(Hayes & Williams 1982)_INCLUDE_NA_Population in support_no_no,Web of Science_Systematic external review,Anas chlorotis,2,(Hayes & Williams 1982),"",Yes,Population in support without data,no,no,2025
Anas chlorotis Web of Science_Systematic external review,(O'Connor 2004)_EXCLUDE_0_Inaccessible_NA_NA,Web of Science_Systematic external review,Anas chlorotis,3,(O'Connor 2004),0,Not relevant,Inaccessible,"",no,2025
Anas chlorotis Web of Science_Systematic external review,(Skilton 2009)_EXCLUDE_0_Inaccessible_NA_NA,Web of Science_Systematic external review,Anas chlorotis,2,(Skilton 2009),0,Not relevant,Inaccessible,"",no,2025
Anas chlorotis Web of Science_Systematic external review,(Ward-Smith & Nagakawa 2012)_EXCLUDE_0_Inaccessible_NA_NA,Web of Science_Systematic external review,Anas chlorotis,2,(Ward-Smith & Nagakawa 2012),0,Not relevant,Inaccessible,"",no,2025
Anas chlorotis Web of Science_Systematic external review,(Williams 2001)_EXCLUDE_1_Opinion claim_NA_NA,Web of Science_Systematic external review,Anas chlorotis,3,(Williams 2001),"",Not relevant,Opinion claim,"",no,2025
Anas eatoni (Doherty et al. 2016) core source_claim,(Stahl et al. 1984)_EXCLUDE_1_Not in English or Spanish_NA_NA,(Doherty et al. 2016) core source_claim,Anas eatoni,2,(Stahl et al. 1984),"",Not relevant,Not in English or Spanish,"",no,2014
Anas eatoni (IUCN 2025) core source_claim,(Stahl et al. 1984)_EXCLUDE_1_Not in English or Spanish_NA_NA,(IUCN 2025) core source_claim,Anas eatoni,2,(Stahl et al. 1984),"",Not relevant,Not in English or Spanish,"",no,2015
Anas eatoni Web of Science_Systematic external review,(Chapuis et al. 2001)_EXCLUDE_1_No claim_NA_NA,Web of Science_Systematic external review,Anas eatoni,1,(Chapuis et al. 2001),"",Not relevant,No claim,"",no,2025
Anas wyvilliana (Doherty et al. 2016) core source_claim,(Engilis Jr & Pratt 1993)_EXCLUDE_1_No claim_NA_NA,(Doherty et al. 2016) core source_claim,Anas wyvilliana,1,(Engilis Jr & Pratt 1993),"",Not relevant,No claim,"",no,2014
Anas wyvilliana (Doherty et al. 2016) core source_claim,(USFWS 2005)_EXCLUDE_0_Inaccessible_NA_NA,(Doherty et al. 2016) core source_claim,Anas wyvilliana,1,(USFWS 2005),0,Not relevant,Inaccessible,"",no,2014
Anas wyvilliana (IUCN 2025) core source_claim,(USFWS 2011)_EXCLUDE_0_Inaccessible_NA_NA,(IUCN 2025) core source_claim,Anas wyvilliana,1,(USFWS 2011),0,Not relevant,Inaccessible,"",no,2022
