scientificName,value,pub_year,Note
Fregata aquila,(Ashmole et al. 1994),1994,
Burramys parvus,(NSW National Parks and Wildlife Service 2002b),2002,
Pterodroma sandwichensis,(Hodges & Nagata Sr 2001),2001,
Pterodroma sandwichensis,(Hodges & Nagata Sr 2001),2001,
Anas chlorotis,(O'Connor et al. 2007),2007,
Dasyurus hallucatus,(Oakwood 2000),2000,
Dasyornis brachypterus,(Office of Environment & Heritage 2012),2012,
Charadrius sanctaehelenae,(Oppel et al. 2014),2014,
Neophema chrysogaster,(Orange Bellied Parrot Recovery Team 2006),2006,
Anas chlorotis,(O’Donnell et al. 2015),2015,
Cabalus modestus,(O’Donnell et al. 2015),2015,
Chlidonias albostriatus,(O’Donnell et al. 2010),2010,
Loxioides bailleui,(Banko et al. 2002b),2002,
Crocidura trichura,(Meek 2000),2000,
Isoodon auratus,(Montague 1914),1914,
Anarhynchus frontalis,(Battley & Moore 2004),2004,
Anas aucklandica,(Moore & Walker 1991),1991,
Haematopus chathamensis,(Moore 2008),2008,
Haematopus chathamensis,(Moore 2009),2009,
Chilabothrus monensis,(Tolson 1988),1988,
Setonix brachyurus,(De Tores et al. 2007),2007,
Mimus trifasciatus,(Grant et al. 2000),2000,
Brachylophus vitiensis,(Harlow et al. 2007),2007,
Dierogekko inexpectatus,(Skipwith et al. 2014),2014,
Macrotis lagotis,(Paltridge 2002),2002,
Pseudomys australis,(Pavey et al. 2014),2014,
Pseudomys australis,(Pavey et al. 2014),2014,
Pseudomys australis,(Pavey et al. 2008b),2008,
Loxioides bailleui,(Pletschet & Kelly 1990),1990,
Loxioides bailleui,(Pletschet & Kelly 1990),1990,
Loxioides bailleui,(Pletschet & Kelly 1990),1990,
Loxioides bailleui,(Pletschet & Kelly 1990),1990,
Dasyurus hallucatus,(Pollock 1999),1999,
Loxioides bailleui,(Pratt et al. 1997),1997,
Loxioides bailleui,(Pratt et al. 1997),1997,
Chilabothrus subflavus,(Mittermeier 1972),1972,
Alsophis rufiventris,(Sajdak & Henderson 1991),1991,
Leiocephalus eremitus,(Honegger 1981),1981,
Chlidonias albostriatus,(Keedwell et al. 2002a),2002,
Prosobonia cancellata,(Pierce & Blanvillain 2004),2004,
Prosobonia parvirostris,(Pierce & Blanvillain 2004),2004,
Himantopus novaezelandiae,(Pierce 1986),1986,
Mimus trifasciatus,(Curry 1986),1986,
Cyclura cornuta,(Powell et al. 2000),2000,
Caribicus warreni,(Powell & Henderson 2003),2003,
Pseudomys australis,(Read & Cunningham 2010),2010,
Perameles bougainville,(Richards 2012b),2012,
Perameles bougainville,(Richards & Short 2003),2003,
Anas chlorotis,(Rickett 2010),2010,
Apteryx mantelli,(Robertson et al. 2011),2011,
Phalacrocorax nigrogularis,(Muzaffar et al. 2013),2013,
Loxioides bailleui,(Hess & Banko 2006),2006,
Sminthopsis psammophila,(Churchill 2001),2001,
Eudyptes pachyrhynchus,(Ellis et al. 1998),1998,
Spheniscus mendiculus,(Ellis et al. 1998),1998,
Pterodroma sandwichensis,(Judge et al. 2012),2012,
Sternula nereis,(Ferreira et al. 2005),2005,
Mus mayori,(Molur et al. 2005),2005,
Melamprosops phaeosoma,(Mountainspring et al. 1990),1990,
Puffinus yelkouan,(Oppel et al. 2011),2011,
Peromyscus caniceps,(Alvarez-Castañeda et al. 1998),1998,
Peromyscus pseudocrinitus,(Alvarez-Castañeda 1998),1998,
Peromyscus sejugis,(Alvarez-Castañeda 2001),2001,
Chlidonias albostriatus,(Sanders & Maloney 2002),2002,
Himantopus novaezelandiae,(Sanders & Maloney 2002),2002,
Mystacina tuberculata,(Scrimgeour et al. 2012),2012,
Pomarea mendozae,(Seitre 1992),1992,
Diplothrix legata,(Shionosaki et al. 2015),2015,
Tokudaia osimensis,(Shionosaki et al. 2015),2015,
Spheniscus mendiculus,(Steinfurth 2007),2007,
Pentalagus furnessi,(Sugimura et al. 2000),2000,
Pentalagus furnessi,(Sugimura et al. 2000),2000,
Hymenolaimus malacorhynchos,(Holmes & Caskey 2001),2001,
Pterodroma sandwichensis,(Simons 1983),1983,
Pterodroma sandwichensis,(Simons 1984),1984,
Pterodroma sandwichensis,(Simons 1985),1985,
Sternula nereis,(Wilson & Hansen 2005),2005,
Microgoura meeki,(Tennent 2009),2009,
Diomedea amsterdamensis,(Thiebot et al. 2014),2014,
Ducula galeata,(Thorsen et al. 2002),2002,
Oligosoma otagense,(Tocher 2006),2006,
Xeromys myoides,(Traill et al. 2011),2011,
Branta sandvicensis,(USFWS 2004),2004,
Spheniscus humboldti,(UNEP World Conservation Monitoring Centre 2004),2004,
Thamnophis gigas,(USFWS 1993),1993,
Pterodroma cahow,(USFWS 2013b),2013,
Anas wyvilliana,(USFWS 2005),2005,
Fulica alai,(USFWS 2005),2005,
Megapodius laperouse,(USFWS 1998a),1998,
Corvus hawaiiensis,(USFWS 2009),2009,
Podarcis lilfordi,(Mellado et al. 1997),1997,
Procellaria aequinoctialis,(Van Rensburg & Bester 1988),1988,
Petroica traversi,(Veitch 1985),1985,
